id,nombre,correo,telefono,tipo_documento,numero_documento,estado
,Carlos Gomez,carlosgomez@yahoo.com,3011392675,CE,47889541,SUSPENDIDO
38595.0,Sofia Torres,anamartinez@hotmail.com,3109296289,CC,,SUSPENDIDO
,Carlos Gomez,anamartinez@yahoo.com,3009373062,CE,15576809,INACTIVO
45806.0,Ana Martinez,anamartinez@gmail.com,3105503962,TI,,SUSPENDIDO
38666.0,Carlos Gomez,anamartinez@gmail.com,3101068345,CC,14988146,desconocido
,Carlos Gomez,carlosgomez@gmail.com,3009896211,TI,36844745,INACTIVO
84204.0,Ana Martinez,,3111884118,CC,28467270,INACTIVO
,Carlos Gomez,juanperez@yahoo.com,3021262241,CC,23724931,INACTIVO
,Juan Perez,carlosgomez@yahoo.com,3023899845,CE,69954428,ACTIVO
28666.0,Carlos Gomez,juanperez@yahoo.com,abc123,CC,79469061,SUSPENDIDO
75563.0,Ana Martinez,,3018754862,TI,72039665,SUSPENDIDO
9844.0,Juan Perez,carlosgomez@yahoo.com,abc123,CC,54216919,INACTIVO
,Luis Rojas,marialopez@hotmail.com,3006132398,CC,64176139,INACTIVO
983.0,Carlos Gomez,anamartinez@gmail.com,abc123,CC,11747258,INACTIVO
9025.0,Sofia Torres,marialopez@hotmail.com,3112954231,TI,,ACTIVO
30873.0,Sofia Torres,juanperez@gmail.com,3025565733,CE,18478734,desconocido
28024.0,Luis Rojas,juanperez@hotmail.com,3028196917,TI,41264893,desconocido
35227.0,Sofia Torres,anamartinez@hotmail.com,3117219435,CE,,ACTIVO
67577.0,Maria Lopez,sofiatorres@yahoo.com,3008385821,CE,,INACTIVO
84432.0,Carlos Gomez,anamartinez@yahoo.com,3117825456,CC,,INACTIVO
29339.0,Luis Rojas,,3015993789,CC,34214973,ACTIVO
,Juan Perez,luisrojas@hotmail.com,3001603117,TI,54503706,INACTIVO
30597.0,Maria Lopez,carlosgomez@hotmail.com,3114945536,CE,30608306,INACTIVO
45346.0,Luis Rojas,carlosgomez@hotmail.com,abc123,TI,95816903,SUSPENDIDO
,Juan Perez,marialopez@gmail.com,3011140807,TI,49484440,SUSPENDIDO
26111.0,Ana Martinez,marialopez@yahoo.com,3116335814,CC,,ACTIVO
59843.0,Juan Perez,,3112764658,CE,62295082,INACTIVO
16845.0,Sofia Torres,carlosgomez@gmail.com,abc123,CC,97921167,ACTIVO
,Ana Martinez,sofiatorres@gmail.com,3014536725,CC,32560226,ACTIVO
15286.0,Ana Martinez,sofiatorres@yahoo.com,3019483655,CE,36037406,desconocido
24118.0,Maria Lopez,,3015047730,CC,55694997,INACTIVO
,Juan Perez,marialopez@hotmail.com,3119487463,TI,96081353,SUSPENDIDO
,Maria Lopez,sofiatorres@yahoo.com,3109923042,CE,89899652,SUSPENDIDO
37902.0,Luis Rojas,sofiatorres@hotmail.com,abc123,CE,17216083,INACTIVO
73628.0,Sofia Torres,marialopez@yahoo.com,abc123,TI,40699194,SUSPENDIDO
12467.0,Sofia Torres,sofiatorres@hotmail.com,3108294275,TI,,ACTIVO
48448.0,Luis Rojas,sofiatorres@yahoo.com,3003536038,CE,84512822,SUSPENDIDO
59507.0,Carlos Gomez,marialopez@gmail.com,3001214848,TI,70939457,ACTIVO
88463.0,Maria Lopez,,3029499313,CC,20857102,SUSPENDIDO
17926.0,Ana Martinez,,3027757707,CE,34445291,ACTIVO
76988.0,Sofia Torres,juanperez@gmail.com,3026466631,CE,,ACTIVO
,Ana Martinez,juanperez@gmail.com,3024474676,CC,43683693,INACTIVO
60497.0,Sofia Torres,carlosgomez@yahoo.com,abc123,CC,18726500,ACTIVO
15290.0,Luis Rojas,luisrojas@gmail.com,3112352866,TI,75019483,desconocido
25594.0,Juan Perez,juanperez@hotmail.com,abc123,TI,61119122,SUSPENDIDO
86229.0,Carlos Gomez,anamartinez@yahoo.com,abc123,CE,64483435,ACTIVO
85427.0,Ana Martinez,anamartinez@gmail.com,3113633804,CE,,INACTIVO
99609.0,Juan Perez,,3026143095,CC,81412446,SUSPENDIDO
70340.0,Juan Perez,,3004308091,TI,59724709,ACTIVO
18693.0,Maria Lopez,marialopez@yahoo.com,3118361523,TI,40478345,desconocido
77953.0,Luis Rojas,sofiatorres@yahoo.com,abc123,CE,19372778,ACTIVO
27591.0,Ana Martinez,juanperez@hotmail.com,3004121342,CE,17463476,SUSPENDIDO
,Carlos Gomez,luisrojas@hotmail.com,3008908608,CC,57564535,ACTIVO
,Juan Perez,sofiatorres@gmail.com,3019933940,CC,77958536,INACTIVO
75247.0,Juan Perez,anamartinez@hotmail.com,3029039157,CE,18490848,INACTIVO
6959.0,Carlos Gomez,,3023587015,CE,98107706,INACTIVO
,Juan Perez,carlosgomez@hotmail.com,3028087390,CC,33846385,SUSPENDIDO
46783.0,Carlos Gomez,sofiatorres@gmail.com,3022841715,CC,,SUSPENDIDO
31757.0,Luis Rojas,juanperez@hotmail.com,abc123,CC,94159458,ACTIVO
,Maria Lopez,marialopez@hotmail.com,3016902584,TI,81888560,ACTIVO
61417.0,Luis Rojas,carlosgomez@gmail.com,3107470118,CC,64545724,ACTIVO
,Luis Rojas,anamartinez@yahoo.com,3019264132,CE,90982201,SUSPENDIDO
,Luis Rojas,luisrojas@gmail.com,3006266513,TI,79669452,SUSPENDIDO
94677.0,Maria Lopez,marialopez@hotmail.com,abc123,CC,51543556,ACTIVO
26289.0,Sofia Torres,sofiatorres@hotmail.com,3006034067,TI,,INACTIVO
11518.0,Luis Rojas,marialopez@yahoo.com,abc123,TI,31054128,SUSPENDIDO
81665.0,Juan Perez,sofiatorres@yahoo.com,3119894389,CC,,ACTIVO
95723.0,Ana Martinez,juanperez@yahoo.com,abc123,CC,51614879,SUSPENDIDO
19510.0,Carlos Gomez,,3024493560,CC,57303267,ACTIVO
78670.0,Ana Martinez,carlosgomez@hotmail.com,abc123,TI,98281143,ACTIVO
58839.0,Juan Perez,anamartinez@gmail.com,3011035012,CC,55555849,ACTIVO
57085.0,Juan Perez,marialopez@gmail.com,abc123,TI,29546976,SUSPENDIDO
,Carlos Gomez,sofiatorres@hotmail.com,3003749306,TI,62979498,ACTIVO
83397.0,Juan Perez,anamartinez@yahoo.com,abc123,CC,74361943,INACTIVO
85667.0,Juan Perez,juanperez@hotmail.com,3111549396,CE,,SUSPENDIDO
40135.0,Ana Martinez,juanperez@gmail.com,3119392309,CE,,ACTIVO
14555.0,Sofia Torres,sofiatorres@yahoo.com,abc123,TI,80379995,SUSPENDIDO
58247.0,Carlos Gomez,juanperez@gmail.com,3118072834,TI,43562651,SUSPENDIDO
8042.0,Luis Rojas,juanperez@hotmail.com,3022786640,CE,,SUSPENDIDO
53486.0,Maria Lopez,sofiatorres@yahoo.com,3005081189,CC,,INACTIVO
59477.0,Carlos Gomez,luisrojas@gmail.com,3008951890,CC,14645286,INACTIVO
8928.0,Juan Perez,carlosgomez@yahoo.com,abc123,TI,14353060,SUSPENDIDO
68712.0,Maria Lopez,anamartinez@gmail.com,3007129547,CE,,ACTIVO
37606.0,Luis Rojas,,3013589517,TI,49371577,SUSPENDIDO
22773.0,Juan Perez,carlosgomez@hotmail.com,abc123,CE,54106376,ACTIVO
90989.0,Juan Perez,carlosgomez@yahoo.com,3104975992,CC,,ACTIVO
99592.0,Maria Lopez,marialopez@yahoo.com,3025135256,CE,91515210,SUSPENDIDO
30168.0,Luis Rojas,,3001906821,CC,40714574,SUSPENDIDO
42228.0,Maria Lopez,,3014871168,CE,29925635,ACTIVO
66673.0,Sofia Torres,marialopez@hotmail.com,3009762931,TI,,INACTIVO
90871.0,Maria Lopez,marialopez@gmail.com,3002457195,CE,22576140,SUSPENDIDO
80364.0,Luis Rojas,juanperez@hotmail.com,abc123,CE,21783046,INACTIVO
,Ana Martinez,marialopez@yahoo.com,3016868389,CC,25494325,ACTIVO
23615.0,Juan Perez,,3028158712,TI,57760879,ACTIVO
58085.0,Juan Perez,carlosgomez@gmail.com,3118417009,TI,,ACTIVO
13676.0,Sofia Torres,marialopez@hotmail.com,3014856203,CE,,SUSPENDIDO
,Luis Rojas,marialopez@yahoo.com,3025327065,TI,34116703,ACTIVO
19037.0,Ana Martinez,,3012742687,TI,41065461,ACTIVO
20583.0,Sofia Torres,marialopez@hotmail.com,3013349220,CC,59711880,desconocido
38374.0,Juan Perez,marialopez@yahoo.com,abc123,TI,18684020,ACTIVO
18837.0,Carlos Gomez,luisrojas@hotmail.com,3115653206,TI,25037062,desconocido
,Carlos Gomez,marialopez@yahoo.com,3102695808,CE,69403900,SUSPENDIDO
,Carlos Gomez,luisrojas@gmail.com,3025697422,CE,87512542,INACTIVO
,Ana Martinez,anamartinez@hotmail.com,3108885111,CC,42543012,INACTIVO
1859.0,Luis Rojas,,3009830825,CE,42487885,INACTIVO
,Juan Perez,sofiatorres@gmail.com,3028671526,CC,33206019,SUSPENDIDO
40208.0,Carlos Gomez,carlosgomez@gmail.com,abc123,CE,88187099,SUSPENDIDO
77830.0,Luis Rojas,sofiatorres@yahoo.com,abc123,TI,10180490,ACTIVO
76912.0,Ana Martinez,,3117575551,CC,25177273,SUSPENDIDO
46790.0,Juan Perez,anamartinez@gmail.com,3029192772,CE,31035131,SUSPENDIDO
,Sofia Torres,sofiatorres@hotmail.com,3105427100,CE,89077267,SUSPENDIDO
97540.0,Ana Martinez,,3119885381,TI,44888353,SUSPENDIDO
48958.0,Ana Martinez,marialopez@yahoo.com,3102881270,TI,40753714,INACTIVO
,Maria Lopez,juanperez@gmail.com,3004015136,CE,42978744,ACTIVO
,Juan Perez,sofiatorres@hotmail.com,3005360444,CE,29167616,SUSPENDIDO
86096.0,Juan Perez,sofiatorres@hotmail.com,3103396371,CC,,SUSPENDIDO
69666.0,Sofia Torres,luisrojas@gmail.com,3029192415,CC,37372053,ACTIVO
,Ana Martinez,sofiatorres@yahoo.com,3005841220,CC,90774624,ACTIVO
61341.0,Ana Martinez,anamartinez@yahoo.com,3117882591,TI,,INACTIVO
75814.0,Sofia Torres,marialopez@hotmail.com,abc123,CE,68505489,ACTIVO
31407.0,Juan Perez,marialopez@hotmail.com,3108262326,CC,33735430,desconocido
88528.0,Maria Lopez,luisrojas@yahoo.com,3001713683,TI,67039279,desconocido
80537.0,Luis Rojas,juanperez@gmail.com,abc123,TI,72910242,INACTIVO
7501.0,Sofia Torres,,3119155005,TI,18227577,INACTIVO
86084.0,Carlos Gomez,luisrojas@gmail.com,3018933516,CC,19034464,INACTIVO
76189.0,Carlos Gomez,luisrojas@yahoo.com,abc123,TI,80865935,SUSPENDIDO
67982.0,Ana Martinez,juanperez@hotmail.com,abc123,CC,80906595,SUSPENDIDO
57342.0,Juan Perez,marialopez@yahoo.com,3008128966,TI,93193853,desconocido
36229.0,Carlos Gomez,,3104355188,CC,33527390,ACTIVO
76770.0,Luis Rojas,,3002376872,CC,76704985,ACTIVO
,Ana Martinez,sofiatorres@yahoo.com,3018789089,CE,55554181,INACTIVO
77102.0,Maria Lopez,carlosgomez@gmail.com,3028216682,CC,62264878,INACTIVO
972.0,Ana Martinez,marialopez@hotmail.com,3001420603,CE,47548393,ACTIVO
27023.0,Juan Perez,,3113560465,TI,23011968,ACTIVO
46855.0,Maria Lopez,juanperez@hotmail.com,3113288780,CC,,SUSPENDIDO
30125.0,Carlos Gomez,juanperez@gmail.com,abc123,CE,50540014,SUSPENDIDO
22021.0,Ana Martinez,,3022311463,CE,79527267,INACTIVO
63370.0,Sofia Torres,juanperez@gmail.com,3104026741,TI,16184531,desconocido
25776.0,Maria Lopez,anamartinez@gmail.com,3017686812,TI,19022743,desconocido
39988.0,Sofia Torres,,3008427051,TI,13912379,SUSPENDIDO
69603.0,Sofia Torres,carlosgomez@gmail.com,3002565327,CC,72366724,desconocido
84366.0,Juan Perez,luisrojas@gmail.com,3025387076,TI,,INACTIVO
,Carlos Gomez,sofiatorres@yahoo.com,3114486608,TI,40023649,INACTIVO
81343.0,Sofia Torres,sofiatorres@hotmail.com,3019202581,TI,,SUSPENDIDO
1472.0,Sofia Torres,,3118480131,CC,71296581,SUSPENDIDO
,Luis Rojas,sofiatorres@gmail.com,3024566287,CE,48823239,INACTIVO
70146.0,Sofia Torres,sofiatorres@gmail.com,3018999024,CC,39196365,desconocido
63.0,Juan Perez,sofiatorres@gmail.com,abc123,CC,57207275,SUSPENDIDO
39337.0,Carlos Gomez,marialopez@hotmail.com,3016167810,TI,79147557,desconocido
2779.0,Ana Martinez,juanperez@yahoo.com,abc123,CE,28704883,ACTIVO
35630.0,Maria Lopez,juanperez@gmail.com,3021536759,TI,,ACTIVO
,Carlos Gomez,luisrojas@gmail.com,3007885966,CC,43616977,INACTIVO
98771.0,Sofia Torres,carlosgomez@gmail.com,abc123,CE,82393768,INACTIVO
2970.0,Ana Martinez,anamartinez@hotmail.com,3029400949,CC,27180887,ACTIVO
93091.0,Ana Martinez,,3001464940,TI,61076524,SUSPENDIDO
29087.0,Ana Martinez,carlosgomez@yahoo.com,abc123,CE,70406221,INACTIVO
65699.0,Maria Lopez,marialopez@hotmail.com,3001505594,CC,11842246,desconocido
77478.0,Maria Lopez,marialopez@yahoo.com,abc123,TI,17650295,SUSPENDIDO
30907.0,Maria Lopez,carlosgomez@gmail.com,3109104265,TI,,SUSPENDIDO
3196.0,Juan Perez,carlosgomez@hotmail.com,abc123,CE,27151642,SUSPENDIDO
,Carlos Gomez,carlosgomez@hotmail.com,3115324864,CC,99370045,INACTIVO
80452.0,Sofia Torres,marialopez@gmail.com,3019541566,CE,61076922,desconocido
,Carlos Gomez,carlosgomez@yahoo.com,3115428932,TI,71901368,INACTIVO
21595.0,Juan Perez,marialopez@hotmail.com,abc123,CE,53570891,SUSPENDIDO
76479.0,Maria Lopez,juanperez@hotmail.com,abc123,CC,81219192,INACTIVO
35424.0,Luis Rojas,marialopez@gmail.com,3104259318,CE,,ACTIVO
28255.0,Maria Lopez,,3115596875,CC,26250851,ACTIVO
62999.0,Luis Rojas,carlosgomez@yahoo.com,3026438834,CC,51152817,ACTIVO
64144.0,Carlos Gomez,marialopez@yahoo.com,3004423665,CE,56109059,ACTIVO
61111.0,Juan Perez,luisrojas@hotmail.com,3008431875,CC,48508220,INACTIVO
64229.0,Luis Rojas,anamartinez@yahoo.com,3023082390,CE,,INACTIVO
,Maria Lopez,juanperez@yahoo.com,3105789411,CE,49897330,SUSPENDIDO
35147.0,Maria Lopez,anamartinez@gmail.com,abc123,CC,96655790,INACTIVO
34744.0,Juan Perez,carlosgomez@yahoo.com,abc123,CC,69272665,SUSPENDIDO
88838.0,Sofia Torres,anamartinez@hotmail.com,abc123,CC,24948443,SUSPENDIDO
46708.0,Maria Lopez,luisrojas@hotmail.com,3009886978,TI,33985105,INACTIVO
52953.0,Juan Perez,luisrojas@yahoo.com,3026714352,CC,,SUSPENDIDO
